surface,count,year_counts,context_count,first_context
search,4,"{""2023"": 1, ""2024"": 1, ""2025"": 1, ""2026"": 1}",2,"Thus, librarians digitize the tangible so that researchers the world over can quickly search and access their holdings."
advances,4,"{""2023"": 1, ""2025"": 2, ""2026"": 1}",3,"It comes at a time when authors are already worried about the consequences of the proposed merger between PRH and another big publisher, Simon & Schuster—the reduction in the number of unaligned UK publishers is likely to lead to fewer bidding wars, lower advances, and more conformity in terms of what is published."
literary,4,"{""2023"": 2, ""2025"": 2}",2,"This is all part of a wider change towards concentration of power, says literary agent Andrew Lownie."
statements,4,"{""2023"": 1, ""2024"": 1, ""2025"": 2}",0,
cite,4,"{""2023"": 4}",3,"In 2016, researchers developed an algorithm to recognize suspicious citation patterns, including groups of authors that disproportionately cite one another and groups of journals that cite each other frequently to increase the impact factors of their publications."
language,4,"{""2023"": 1, ""2025"": 3}",1,"Recently, another expression of this predatory behavior has emerged: so-called support service consultancies that provide language and other editorial support to individual authors and to journals sometimes advise contributors to add a number of citations to their articles."
scopus,4,"{""2023"": 4}",4,"The problem is rampant in Scopus, a citation database, which includes a high number of the new international journals."
seems,4,"{""2023"": 1, ""2024"": 2, ""2026"": 1}",2,"In fact, a listing in Scopus seems to be a criterion to be targeted in this type of citation manipulation."
ask,4,"{""2023"": 1, ""2024"": 3}",4,The support service consultancies tend to recommend journals to their clients. list citation patterns for their clients. ask authors to include extra citations. advise contributors to cite each other.
established,4,"{""2023"": 2, ""2024"": 1, ""2025"": 1}",3,It is established to prevent citation manipulation.
landscape,4,"{""2023"": 1, ""2025"": 1, ""2026"": 2}",2,"Peters likes to photograph butterflies in a landscape, celebrating the beauty of their surroundings as well as the insects themselves."
shots,4,"{""2023"": 1, ""2025"": 3}",3,"These take-off shots are even more challenging because they require a wide-angle lens, which means he must be less than 2cm from the butterfly."
expedition,4,"{""2023"": 4}",1,"Despite these challenges, Jackson captured dozens of striking photos, ranging from majestic images like his now-famous snapshot of Old Faithful, to casual portraits of expedition members at the camp."
reproductions,4,"{""2023"": 1, ""2024"": 3}",2,We know very exact reproductions of artwork can be and are regularly produced.
americans,4,"{""2023"": 2, ""2024"": 2}",2,"To those of you in the comments section who are having strong feelings about artifacts being removed from cities in the US and Britain and returned to their countries of origin, I would ask you to consider: why do you think Americans have more of a right to easily access the Benin Bronzes than the people of Nigeria?"
appropriate,4,"{""2023"": 3, ""2024"": 1}",2,"For example, AI can be used to analyse what type of advertising content or copy would be appropriate to speak to a specific target customer group by revealing information about trends and preferences through the analysis of big data."
unique,4,"{""2023"": 1, ""2024"": 1, ""2026"": 2}",1,"AI can also be used to identify the lifestyle choices of customers regarding their hobbies, favourite celebrities, and fashions to provide unique content in marketing messages put out through social media."
concerns,4,"{""2023"": 2, ""2025"": 1, ""2026"": 1}",3,"The main disadvantage of using AI to respond to customers is that there are concerns about trusting personal interactions to machines, which could lead not only to the subsequent loss of interpersonal connections, but also to a decrease in marketing personnel."
algorithms,4,"{""2023"": 1, ""2026"": 3}",2,"Algorithms used to simulate human interactions are creating many of these concerns, especially as no-one is quite sure what the outcomes of using AI to interact with customers will be."
sure,4,"{""2023"": 1, ""2024"": 1, ""2026"": 2}",2,"Algorithms used to simulate human interactions are creating many of these concerns, especially as no-one is quite sure what the outcomes of using AI to interact with customers will be."
accessible,4,"{""2023"": 1, ""2025"": 1, ""2026"": 2}",3,"For AI to be successful, data needs to be accessible, but the use of personal data is becoming more regulated and the automated sharing of data is becoming more difficult."
automatic,4,"{""2024"": 4}",3,"Without the need to be touched to open or close, automatic doors are essential in improving disabled access to buildings and helping provide general convenience to commercial buildings."
stable,4,"{""2024"": 4}",1,His distinctive style is now one of the most commonly used prompts in the new open-source AI art generator Stable Diffusion.
thanks,4,"{""2024"": 2, ""2025"": 1, ""2026"": 1}",1,"The Gutenberg printing press transformed civilisation not by changing the nature of writing but by changing its cost—and it would have achieved little without a parallel collapse in the price of surfaces to write on, thanks to an often-overlooked technology called paper."
records,4,"{""2024"": 1, ""2025"": 1, ""2026"": 2}",3,Keeping digital historical records is a challenge.
romans,4,"{""2024"": 4}",3,"Nearly 2,000 years ago, as the Romans began to pull out of Scotland, they left behind a curious treasure: 10 tons of nails, nearly a million of the things."
million,4,"{""2024"": 4}",2,"Nearly 2,000 years ago, as the Romans began to pull out of Scotland, they left behind a curious treasure: 10 tons of nails, nearly a million of the things."
hands,4,"{""2024"": 1, ""2025"": 1, ""2026"": 2}",2,These groups of people are part of a rapidly expanding biotechnological social movement of citizen scientists and professional scientists seeking to take discovery out of institutions and put it into the hands of anyone with the enthusiasm.
learnt,4,"{""2024"": 2, ""2026"": 2}",2,"While hunter-gatherer children learnt from observation and imitation in mixed-age playgroups, researchers said that western instructive teaching, where pupils are asked to sit still, may contribute to conditions such as attention deficit hyperactivity disorder."
sophisticated,4,"{""2024"": 2, ""2025"": 2}",1,"The peer-reviewed results showed that the target group of pupils drew on a wider vocabulary, used words classed as more sophisticated or rarer, and wrote at greater length."
alloparenting,4,"{""2024"": 4}",2,"According to Dr Nikhil Chaudhary, an evolutionary anthropologist at Cambridge University, these practices, known as alloparenting, could lead to less anxiety for children and parents."
hunter-gatherer,4,"{""2024"": 4}",3,"Another measure could be encouraging friendships between children in different school years, to mirror the unsupervised mixed-age playgroups in hunter-gatherer communities."
style,4,"{""2024"": 3, ""2025"": 1}",1,His distinctive style is now one of the most commonly used prompts in the new open-source AI art generator Stable Diffusion.
prompts,4,"{""2024"": 4}",2,His distinctive style is now one of the most commonly used prompts in the new open-source AI art generator Stable Diffusion.
nearby,4,"{""2024"": 3, ""2025"": 1}",2,"The shallows provide homes for hundreds of species while storing floodwaters, filtering pollutants from water, and protecting nearby communities from potentially destructive storm surges."
museum,4,"{""2024"": 4}",2,They serve no purpose in a museum in the United States or elsewhere except as curious objects.
smell,4,"{""2024"": 4}",4,"Although the cues used by African elephants for long-distance navigation are not yet understood, smell may well play a part."
pavlopetri,4,"{""2025"": 4}",3,"In recent decades, shifting currents and climate change have eroded a natural barrier that protected Pavlopetri."
site,4,"{""2025"": 4}",3,"A year later, he returned with a few students to examine the location and map the site."
o'hanlon,4,"{""2025"": 4}",0,
shoes,4,"{""2025"": 2, ""2026"": 2}",3,They were comfortable in describing different emotional states and part of what you do in drama is put yourself in different shoes.
expanding,4,"{""2025"": 2, ""2026"": 2}",2,These groups of people are part of a rapidly expanding biotechnological social movement of citizen scientists and professional scientists seeking to take discovery out of institutions and put it into the hands of anyone with the enthusiasm.
handle,4,"{""2025"": 1, ""2026"": 3}",2,A woman says there have been fewer street fights since the arrival of the wireless but also less stopping and talking on the brush handle.
billion,4,"{""2025"": 4}",3,"But the age of streaming has been a boon for some unintended winners: pirates that use software to rip a film or television show in seconds from legitimate online video platforms and host the titles on their own, illegitimate services, which rake in about $2 billion annually from ads and subscriptions."
mpa,4,"{""2025"": 4}",2,"The people who are stealing our movies and our television shows and operating piracy sites are not mom and pop operations, says Charlie Rivkin, chief executive officer of the MPA."
analog,4,"{""2025"": 4}",3,"At the time of creation, no attempts were made at intentional preservation, yet analog materials have a chance of surviving and serving as the historical record that biographers, historians, and novelists rely on."
insects,4,"{""2025"": 4}",3,"Peters likes to photograph butterflies in a landscape, celebrating the beauty of their surroundings as well as the insects themselves."
frames,4,"{""2025"": 4}",3,A typical digital SLR camera shoots 20 frames a second.
genomes,4,"{""2026"": 4}",4,"Now, researchers have used genomes of over 200 donkeys to trace their domestication back to a single event around 7,000 years ago in East Africa — about 3,000 years before humans tamed horses."
los,4,"{""2026"": 4}",2,"Even as California lost a huge volume of production to other locations, there was still plenty of film production taking place in Los Angeles before this year."
angeles,4,"{""2026"": 4}",2,"Even as California lost a huge volume of production to other locations, there was still plenty of film production taking place in Los Angeles before this year."
attract,4,"{""2026"": 4}",3,"Other regions in the United States, Canada and Europe have steadily increased incentives to attract TV shows and movies, leaving California in the dust."
fiction,4,"{""2026"": 4}",3,"She draws on letters, diaries and fiction, and a 1939 field notebook of verbatim audience research by Winifred Gill."
swetnam,4,"{""2026"": 4}",1,"In 2022, Swetnam and other scientists teamed up to compile a database of fire-scarred trees from across the continent."
families,3,"{""2020"": 1, ""2021"": 1, ""2026"": 1}",0,
eat,3,"{""2020"": 1, ""2024"": 2}",2,The researchers first established what kinds of plant the elephants preferred either to eat or avoid when foraging freely.
millions,3,"{""2020"": 1, ""2021"": 1, ""2023"": 1}",1,"Each year researchers publish millions of papers in more than 30,000 journals."
roast,3,"{""2020"": 3}",2,"This means that people should avoid crisping their roast potatoes, reject thin-crust pizzas and only partially toast their bread."
fsa,3,"{""2020"": 3}",3,The Food Standards Authority (FSA) has issued a public warning about the risks of a compound called acrylamide that forms in some foods cooked at high temperatures.
warning,3,"{""2020"": 2, ""2022"": 1}",1,The Food Standards Authority (FSA) has issued a public warning about the risks of a compound called acrylamide that forms in some foods cooked at high temperatures.
risks,3,"{""2020"": 2, ""2022"": 1}",2,The Food Standards Authority (FSA) has issued a public warning about the risks of a compound called acrylamide that forms in some foods cooked at high temperatures.
forms,3,"{""2020"": 1, ""2021"": 1, ""2023"": 1}",3,High growth rates increased the chances for academic innovation; they also weakened the forms and processes by which teachers and students are admitted into a community of scholars during periods of stability or slow growth.
foods,3,"{""2020"": 2, ""2021"": 1}",3,The Food Standards Authority (FSA) has issued a public warning about the risks of a compound called acrylamide that forms in some foods cooked at high temperatures.
piece,3,"{""2020"": 1, ""2024"": 2}",2,Then he tried searching for his name to see if a piece he had worked on had been published.
alongside,3,"{""2020"": 2, ""2025"": 1}",3,"The proposal is that it should sit alongside the existing city of culture title, which was held by Hull in 2017, and has been awarded to Coventry for 2021."
telling,3,"{""2020"": 1, ""2024"": 1, ""2026"": 1}",2,"Through their DNA, the animals are telling their history themselves, co-author Samantha Brooks, an equine researcher at the University of Florida, says in a statement."
coming,3,"{""2020"": 1, ""2023"": 1, ""2025"": 1}",1,"However, its campaign risks coming a cross as being pushy and overprotective."
express,3,"{""2020"": 1, ""2025"": 1, ""2026"": 1}",0,
received,3,"{""2020"": 1, ""2021"": 1, ""2022"": 1}",1,"Equally, there is a sense that the travails of commuters in the South East, many of whom will face among the biggest rises, have received too much attention compared to those who must endure the relatively poor infrastructure of the Midlands and the North."
forget,3,"{""2020"": 1, ""2024"": 1, ""2026"": 1}",1,Forget self-help books; reading is self-help in action.
initially,3,"{""2020"": 1, ""2024"": 1, ""2025"": 1}",2,Rutkowski was initially surprised but thought it might be a good way to reach new audiences.
addition,3,"{""2020"": 1, ""2021"": 1, ""2023"": 1}",1,"In addition to the entourage of scientists, the team also included artists: Painter Thomas Moran and photographer Jackson were charged with capturing this astounding natural beauty and sharing it with the world."
interesting,3,"{""2020"": 1, ""2023"": 1, ""2025"": 1}",2,"After all, many of the most interesting books in recent years have come from small publishers."
urgent,3,"{""2020"": 1, ""2023"": 1, ""2026"": 1}",0,
connection,3,"{""2020"": 2, ""2024"": 1}",2,"Specifically, a 5-4 majority decided that wetlands protected by the EPA under its Clean Water Act authority must have a continuous surface connection to bodies of water."
brief,3,"{""2020"": 3}",1,Neuroscientist Bonnie Auyeung found that the hormone oxytocin increased the amount of eye contact from men toward the interviewer during a brief interview when the direction of their gaze was recorded.
fair,3,"{""2020"": 1, ""2022"": 1, ""2025"": 1}",2,Employers must both show cause and act in a procedurally fair way.
entirely,3,"{""2020"": 2, ""2023"": 1}",3,"Last Thursday, the French Senate passed a digital services tax, which would impose an entirely new tax on large multinationals that provide digital services to consumers or users in France."
cooper,3,"{""2020"": 3}",1,"A group of Labour MPs, among them Yvette Cooper, are bringing in the new year with a call to institute a UK town of culture award."
bringing,3,"{""2020"": 2, ""2024"": 1}",3,"A group of Labour MPs, among them Yvette Cooper, are bringing in the new year with a call to institute a UK town of culture award."
existing,3,"{""2020"": 1, ""2021"": 1, ""2023"": 1}",2,"The proposal is that it should sit alongside the existing city of culture title, which was held by Hull in 2017, and has been awarded to Coventry for 2021."
brought,3,"{""2020"": 1, ""2024"": 1, ""2026"": 1}",1,"True: for more than 80 pre-digital years, linear speech broadcasting brought the gift of serendipity, random enlivening of a car journey or dull manual task."
cities,3,"{""2020"": 1, ""2023"": 1, ""2024"": 1}",2,"Hom said similar registration requirements could benefit struggling cities and towns, but if we want to make a change in the housing market, the main one is we have to build a lot more."
generally,3,"{""2020"": 1, ""2021"": 2}",1,"It peaks in young adulthood, levels out for a period of time, and then generally starts to slowly decline as we age."
lack,3,"{""2020"": 1, ""2022"": 1, ""2024"": 1}",1,"Though plants lack brains, the firing of electrical signals in their stems and leaves nonetheless triggered responses that hinted at consciousness, researchers previously reported."
creating,3,"{""2020"": 1, ""2023"": 2}",2,"A town of culture award could, it is argued, become an annual event, attracting funding and creating jobs."
apply,3,"{""2020"": 2, ""2026"": 1}",3,"Some might see the proposal as a booby prize for the fact that Britain is no longer able to apply for the much more prestigious title of European capital of culture, a sought-after award bagged by Glasgow in 1990 and Liverpool in 2008."
glasgow,3,"{""2020"": 2, ""2022"": 1}",1,"Some might see the proposal as a booby prize for the fact that Britain is no longer able to apply for the much more prestigious title of European capital of culture, a sought-after award bagged by Glasgow in 1990 and Liverpool in 2008."
leaving,3,"{""2020"": 1, ""2022"": 1, ""2026"": 1}",3,"A badly run year of culture washes in and out of a place like the tide, bringing prominence for a spell but leaving no lasting benefits to the community."
events,3,"{""2020"": 2, ""2026"": 1}",1,The really successful holders of such titles are those that do a great deal more than fill hotel bedrooms and bring in high-profile arts events and good press for a year.
turned,3,"{""2020"": 2, ""2025"": 1}",1,It turned from God and the authority of the Roman Catholic Church and instead favoured a more humanistic approach to being.
related,3,"{""2020"": 1, ""2022"": 1, ""2025"": 1}",2,"While animals in captivity deserve sympathy, zoos play a significant role in starting young people down the path of related sciences."
print,3,"{""2020"": 2, ""2023"": 1}",1,Scientific publishing has long been a licence to print money.
review,3,"{""2020"": 2, ""2021"": 1}",2,"Other scientists perform the specialised work of peer review also for free, because it is a central element in the acquisition of status and the production of scientific knowledge."
central,3,"{""2020"": 1, ""2026"": 2}",3,"Other scientists perform the specialised work of peer review also for free, because it is a central element in the acquisition of status and the production of scientific knowledge."
publisher,3,"{""2020"": 1, ""2023"": 2}",3,"With the content of papers secured for free, the publisher needs only to find a market for its journal."
sensitive,3,"{""2020"": 1, ""2022"": 1, ""2023"": 1}",2,"Until this century, university libraries were not very price sensitive."
operations,3,"{""2020"": 1, ""2021"": 1, ""2025"": 1}",2,"Scientific publishers routinely report profit margins approaching 40% on their operations, at a time when the rest of the publishing industry is in an existential crisis."
rest,3,"{""2020"": 1, ""2023"": 1, ""2026"": 1}",3,"Scientific publishers routinely report profit margins approaching 40% on their operations, at a time when the rest of the publishing industry is in an existential crisis."
profits,3,"{""2020"": 3}",1,"In some ways the scientific publishing model resembles the economy of the social internet: labour is provided free in exchange for the hope of status, while huge profits are made by a few big firms who run the market places."
alone,3,"{""2020"": 1, ""2021"": 1, ""2024"": 1}",1,"This abrupt shift to an intensive mothering narrative, which suggests that mothers should manage childcare alone, was likely to have been harmful."
sci-hub,3,"{""2020"": 3}",2,"The most drastic, and thoroughly illegal, reaction has been the emergence of Sci-Hub, a kind of global photocopier for scientific papers, set up in 2012, which now claims to offer access to every paywalled article published since 2015."
kind,3,"{""2020"": 2, ""2026"": 1}",3,"The most drastic, and thoroughly illegal, reaction has been the emergence of Sci-Hub, a kind of global photocopier for scientific papers, set up in 2012, which now claims to offer access to every paywalled article published since 2015."
copies,3,"{""2020"": 1, ""2023"": 1, ""2024"": 1}",1,"The success of Sci-Hub, which relies on researchers passing on copies they have themselves legally accessed, shows the legal ecosystem has lost legitimacy among its users and must be transformed so that it works for all participants."
driven,3,"{""2020"": 1, ""2022"": 1, ""2024"": 1}",3,In Britain the move towards open access publishing has been driven by funding bodies.
moment,3,"{""2020"": 1, ""2025"": 2}",2,"More than half of all British scientific research is now published under open access terms: either freely available from the moment of publication, or paywalled for a year or more so that the publishers can make a profit before being placed on general release."
publication,3,"{""2020"": 2, ""2026"": 1}",2,"More than half of all British scientific research is now published under open access terms: either freely available from the moment of publication, or paywalled for a year or more so that the publishers can make a profit before being placed on general release."
cheaper,3,"{""2020"": 1, ""2024"": 2}",2,Yet the new system has not worked out any cheaper for the universities.
responded,3,"{""2020"": 1, ""2022"": 2}",3,Publishers have responded to the demand that they make their product free to readers by charging their writers fees to cover the costs of preparing an article.
product,3,"{""2020"": 1, ""2024"": 1, ""2026"": 1}",2,Publishers have responded to the demand that they make their product free to readers by charging their writers fees to cover the costs of preparing an article.
readers,3,"{""2020"": 1, ""2022"": 1, ""2026"": 1}",3,Publishers have responded to the demand that they make their product free to readers by charging their writers fees to cover the costs of preparing an article.
steadily,3,"{""2020"": 2, ""2026"": 1}",3,A report last year pointed out that the costs both of subscriptions and of these article preparation costs had been steadily rising at a rate above inflation.
inflation,3,"{""2020"": 1, ""2021"": 2}",1,A report last year pointed out that the costs both of subscriptions and of these article preparation costs had been steadily rising at a rate above inflation.
places,3,"{""2020"": 1, ""2026"": 2}",2,"In some ways the scientific publishing model resembles the economy of the social internet: labour is provided free in exchange for the hope of status, while huge profits are made by a few big firms who run the market places."
cases,3,"{""2020"": 1, ""2022"": 1, ""2024"": 1}",3,"In both cases, we need a rebalancing of power."
strategy,3,"{""2020"": 1, ""2022"": 1, ""2024"": 1}",0,
mainly,3,"{""2020"": 1, ""2024"": 1, ""2026"": 1}",0,
gone,3,"{""2020"": 1, ""2022"": 2}",2,"She is proud that several sculptures have even gone on display again, albeit sometimes beneath protective cases."
encouraged,3,"{""2020"": 2, ""2024"": 1}",1,"Scientific method, reductionism and the questioning of Church ideals was to be encouraged, as were ideas of liberty, tolerance and progress."
diversity,3,"{""2020"": 1, ""2022"": 1, ""2023"": 1}",3,Progressives often support diversity mandates as a path to equality and a way to level the playing field.
mandates,3,"{""2020"": 2, ""2023"": 1}",3,Progressives often support diversity mandates as a path to equality and a way to level the playing field.
sponsored,3,"{""2020"": 2, ""2023"": 1}",2,"A pair of bills sponsored by Massachusetts state Senator Jason Lewis and House Speaker Pro Tempore Patricia Haddad, to ensure gender parity on boards and commissions, provide a case in point."
massachusetts,3,"{""2020"": 1, ""2022"": 1, ""2023"": 1}",3,"A pair of bills sponsored by Massachusetts state Senator Jason Lewis and House Speaker Pro Tempore Patricia Haddad, to ensure gender parity on boards and commissions, provide a case in point."
patricia,3,"{""2020"": 1, ""2021"": 2}",2,"A pair of bills sponsored by Massachusetts state Senator Jason Lewis and House Speaker Pro Tempore Patricia Haddad, to ensure gender parity on boards and commissions, provide a case in point."
haddad,3,"{""2020"": 3}",2,"A pair of bills sponsored by Massachusetts state Senator Jason Lewis and House Speaker Pro Tempore Patricia Haddad, to ensure gender parity on boards and commissions, provide a case in point."
female,3,"{""2020"": 3}",2,Haddad and Lewis are concerned that more than half the state-government boards are less than 40 percent female.
elite,3,"{""2020"": 3}",2,"In order to ensure that elite women have more such opportunities, they have proposed imposing government quotas."
opportunities,3,"{""2020"": 2, ""2022"": 1}",3,"In order to ensure that elite women have more such opportunities, they have proposed imposing government quotas."
quotas,3,"{""2020"": 3}",3,"In order to ensure that elite women have more such opportunities, they have proposed imposing government quotas."
prior,3,"{""2020"": 2, ""2026"": 1}",1,"The US Supreme Court frowns on sex-based classifications unless they are designed to address an important policy interest, Because the California law applies to all boards, even where there is no history of prior discrimination, courts are likely to rule that the law violates the constitutional guarantee of equal protection."
mirror,3,"{""2020"": 1, ""2021"": 1, ""2024"": 1}",2,"Female participation on corporate boards may not currently mirror the percentage of women in the general population, but so what?"
requiring,3,"{""2020"": 1, ""2021"": 1, ""2023"": 1}",2,Requiring companies to make gender the primary qualification for board membership will inevitably lead to less experienced private sector boards.
primary,3,"{""2020"": 1, ""2025"": 2}",2,Requiring companies to make gender the primary qualification for board membership will inevitably lead to less experienced private sector boards.
experienced,3,"{""2020"": 1, ""2021"": 1, ""2026"": 1}",3,Requiring companies to make gender the primary qualification for board membership will inevitably lead to less experienced private sector boards.
exactly,3,"{""2020"": 1, ""2024"": 1, ""2026"": 1}",2,That is exactly what happened when Norway adopted a nationwide corporate gender quota.
notes,3,"{""2020"": 1, ""2022"": 2}",2,"Writing in The New Republic, Alice Lee notes that increasing the number of opportunities for board membership without increasing the pool of qualified women to serve on such boards has led to a golden skirt phenomenon, where the same elite women scoop up multiple seats on a variety of boards."
golden,3,"{""2020"": 1, ""2026"": 2}",3,"Writing in The New Republic, Alice Lee notes that increasing the number of opportunities for board membership without increasing the pool of qualified women to serve on such boards has led to a golden skirt phenomenon, where the same elite women scoop up multiple seats on a variety of boards."
remember,3,"{""2020"": 1, ""2023"": 1, ""2026"": 1}",3,"Next time somebody pushes corporate quotas as a way to promote gender equity, remember that such policies are largely self-serving measures that make their sponsors feelgood but do little to help average women."
women's,3,"{""2020"": 3}",0,
position,3,"{""2020"": 1, ""2021"": 1, ""2026"": 1}",0,
greatly,3,"{""2020"": 1, ""2022"": 1, ""2023"": 1}",2,"Plant biology is complex and fascinating, but it differs so greatly from that of animals that so-called evidence of plants' intelligence is inconclusive, the authors wrote."
options,3,"{""2020"": 1, ""2022"": 2}",1,"This is not to say that there is no point in getting a degree, but rather stress that a degree is not for everyone, that the switch from classroom to lecture hall is not an inevitable one and that other options are available."
mentions,3,"{""2020"": 1, ""2023"": 1, ""2025"": 1}",0,
tension,3,"{""2020"": 2, ""2021"": 1}",1,"Offering up such a theory during a time of high tension between scientific and religious minds was branded as heresy, and any such heretics that continued to spread these lies were to be punished by imprisonment or even death."
labor,3,"{""2020"": 1, ""2026"": 2}",1,"If that sounds melodramatic, consider this: The Art Directors Guild, a labor union representing about 3,000 film workers, has suspended a training program and issued a statement explaining that we cannot in good conscience encourage you to pursue our profession."
everyone,3,"{""2020"": 1, ""2022"": 1, ""2026"": 1}",1,"This is not to say that there is no point in getting a degree, but rather stress that a degree is not for everyone, that the switch from classroom to lecture hall is not an inevitable one and that other options are available."
justice,3,"{""2020"": 1, ""2021"": 1, ""2024"": 1}",1,"And it carries significant repercussions for water quality and flood control throughout the United States, as Justice Brett Kavanaugh observed."
senate,3,"{""2020"": 2, ""2023"": 1}",2,"Last Thursday, the French Senate passed a digital services tax, which would impose an entirely new tax on large multinationals that provide digital services to consumers or users in France."
goods,3,"{""2020"": 1, ""2023"": 1, ""2026"": 1}",3,"Digital services include everything from providing a platform for selling goods and services online to targeting advertising based on user data, and the tax applies to gross revenue from such services."
user,3,"{""2020"": 1, ""2024"": 1, ""2026"": 1}",2,"Digital services include everything from providing a platform for selling goods and services online to targeting advertising based on user data, and the tax applies to gross revenue from such services."
apple,3,"{""2020"": 1, ""2021"": 1, ""2026"": 1}",2,"Many French politicians and media outlets have referred to this as a GAFA tax, meaning that it is designed to apply primarily to companies such as Google, Apple, Facebook and Amazon—in other words, multinational tech companies based in the United States."
signature,3,"{""2020"": 1, ""2024"": 1, ""2025"": 1}",3,"The digital services tax now awaits the signature of President Emmanuel Macron, who has expressed support for the measure, and it could go into effect within the next few weeks."
president,3,"{""2020"": 1, ""2023"": 1, ""2026"": 1}",2,"The digital services tax now awaits the signature of President Emmanuel Macron, who has expressed support for the measure, and it could go into effect within the next few weeks."
weeks,3,"{""2020"": 1, ""2023"": 1, ""2024"": 1}",2,"The digital services tax now awaits the signature of President Emmanuel Macron, who has expressed support for the measure, and it could go into effect within the next few weeks."
test,3,"{""2020"": 2, ""2026"": 1}",1,"In people who score high in a test of neuroticism, a personality dimension associated with self-consciousness and anxiety, eye contact triggered more activity associated with avoidance, according to the Finnish researcher Jari Hietanen and colleagues."
union,3,"{""2020"": 2, ""2026"": 1}",2,"At the same time, the European Union, Spain, Britain and several other countries have all seriously contemplated digital services taxes."
differ,3,"{""2020"": 2, ""2024"": 1}",3,"These unilateral developments differ in their specifics, but they are all designed to tax multinationals on income and revenue that countries believe they should have a right to tax, even if international tax rules do not grant them that right."
organization,3,"{""2020"": 1, ""2025"": 2}",3,"In response to these many unilateral measures, the Organization for Economic Cooperation and Development (OECD) is currently working with 131 countries to reach a consensus by the end of 2020 on an international solution."
solution,3,"{""2020"": 1, ""2023"": 1, ""2025"": 1}",1,"In response to these many unilateral measures, the Organization for Economic Cooperation and Development (OECD) is currently working with 131 countries to reach a consensus by the end of 2020 on an international solution."
reached,3,"{""2020"": 1, ""2023"": 1, ""2026"": 1}",0,
costly,3,"{""2020"": 1, ""2022"": 1, ""2024"": 1}",1,"The idea that one might burn down an entire house just to reclaim the nails underlines how scarce, costly and valuable the simple-seeming technology was."
curb,3,"{""2020"": 1, ""2023"": 1, ""2025"": 1}",1,"Initially the rise of legitimate online businesses such as Netflix actually helped curb digital piracy, which had largely been based on file uploads."
prompt,3,"{""2020"": 1, ""2022"": 1, ""2024"": 1}",1,Such an approach can both prompt new research as well as result in powerful art.
aims,3,"{""2020"": 1, ""2025"": 1, ""2026"": 1}",0,
criticism,3,"{""2020"": 1, ""2022"": 1, ""2023"": 1}",1,Zoos which spare no effort to take care of animals should not be subjected to unfair criticism.
rights,3,"{""2020"": 1, ""2022"": 1, ""2024"": 1}",1,"It is too easy, and misleading, to see such court rulings as merely standing up for the rights of land owners when the consequences can be so dire for their neighbors."
involve,3,"{""2020"": 1, ""2021"": 1, ""2024"": 1}",1,"The group is in its early days of mobilization, which could involve pushing for new policies or regulation."
charge,3,"{""2020"": 1, ""2021"": 2}",1,"Before, they might not insure the ones who felt like a high risk or charge them too much, or they would charge them too little and then it would cost the company money."
friendly,3,"{""2020"": 3}",1,"In a social situation, eye contact with another person can show that you are paying attention in a friendly way."
biological,3,"{""2020"": 1, ""2022"": 1, ""2026"": 1}",2,The zoology program at my university attracts students for whom zoo visits were the crucial formative experience that led them to major in biological sciences.
holding,3,"{""2020"": 1, ""2021"": 1, ""2025"": 1}",1,"The thought of holding a fixed grin as the camera performed its magical duties was too much to contemplate, and so non-committal blank stare became the norm."
situation,3,"{""2020"": 2, ""2026"": 1}",2,"In a social situation, eye contact with another person can show that you are paying attention in a friendly way."
paying,3,"{""2020"": 2, ""2021"": 1}",3,"In a social situation, eye contact with another person can show that you are paying attention in a friendly way."
reveals,3,"{""2020"": 1, ""2022"": 1, ""2026"": 1}",0,
smiles,3,"{""2020"": 1, ""2021"": 2}",0,
notion,3,"{""2020"": 1, ""2021"": 1, ""2022"": 1}",0,
supported,3,"{""2020"": 1, ""2021"": 2}",1,"The only previous study analyzing causality, based on an area in Mexico that had instituted CCTs, supported the traditional view."
recorded,3,"{""2020"": 1, ""2026"": 2}",3,Neuroscientist Bonnie Auyeung found that the hormone oxytocin increased the amount of eye contact from men toward the interviewer during a brief interview when the direction of their gaze was recorded.
respond,3,"{""2020"": 1, ""2023"": 2}",1,"The main disadvantage of using AI to respond to customers is that there are concerns about trusting personal interactions to machines, which could lead not only to the subsequent loss of interpersonal connections, but also to a decrease in marketing personnel."
concluded,3,"{""2020"": 1, ""2022"": 1, ""2023"": 1}",2,"With the use of eye-tracking technology, Minson of the Harvard Kennedy School of Government concluded that eye contact can signal very different kinds of messages, depending on the situation."
situations,3,"{""2020"": 2, ""2025"": 1}",1,Concentrating on real-life situations.
mind,3,"{""2020"": 1, ""2025"": 2}",1,"Whether you're a politician or a parent, it might be helpful to keep in mind that trying to maintain eye contact may backfire if you're trying to convince someone who has a different set of beliefs than you, said Minson."
beliefs,3,"{""2020"": 1, ""2023"": 1, ""2026"": 1}",3,"Whether you're a politician or a parent, it might be helpful to keep in mind that trying to maintain eye contact may backfire if you're trying to convince someone who has a different set of beliefs than you, said Minson."
perceived,3,"{""2020"": 1, ""2023"": 1, ""2026"": 1}",1,How the whole image is then assembled and perceived is still a mystery although it is the subject of current research.
